timestamp_ns,accel_x,accel_y,accel_z
6532768659586,1.85748,-6.5409193,0.44017684
6532773389378,2.5052836,-6.4675894,0.6753714
6532778119222,2.904844,-6.3251743,0.85001135
6532787578805,3.1389914,-5.7461576,1.0768805
6532787578805,3.1389914,-5.7461576,1.0768805
6532792308597,3.0383651,-5.422673,1.2060002
6532797038388,2.8281925,-5.2440543,1.1963155
6532801768180,2.4338908,-5.222056,0.7540078
6532806498024,2.0126343,-5.3229437,0.28317428
6532811227816,1.6397848,-5.3720155,-0.34533155
6532820687399,1.1488625,-5.0807185,-1.3322505
6532820687399,1.1488625,-5.0807185,-1.3322505
6532830147034,0.82699883,-4.8311625,-2.040686
6532830147034,0.82699883,-4.8311625,-2.040686
6532834876826,0.6380764,-4.857441,-2.1182706
6532839606618,0.7549783,-5.2038774,-1.7773402
6532844336409,0.77948034,-5.313261,-1.494752
6532849066201,0.743327,-5.4031887,-1.4819069
6532853796045,0.7495065,-5.800825,-1.3406037
6532863255628,0.61997116,-6.3822565,-1.1906606
6532863255628,0.61997116,-6.3822565,-1.1906606
6532867985420,0.571164,-6.6570663,-1.2391384
6532872715211,0.5634446,-6.7852125,-1.4317601
6532877445055,0.6137719,-6.843464,-1.519227
6532882174847,0.71301055,-6.791337,-1.4799533
6532886904638,0.67244273,-6.8847065,-1.5837826
6532896364274,0.443233,-7.3614416,-1.8977898
6532896364274,0.443233,-7.3614416,-1.8977898
6532901094066,0.5600329,-7.3862057,-1.9351442
6532905823857,0.83314896,-7.1954746,-1.6319741
6532910553649,1.0319247,-6.9089313,-1.1875818
6532915283441,1.090808,-6.4859877,-0.88206196
6532920013284,0.8643891,-5.814309,-0.7274327
6532929472868,-0.09529999,-3.7217965,-1.0899577
6532929472868,-0.09529999,-3.7217965,-1.0899577
6532934202659,-0.9020041,-2.98667,-0.8781359
6532938932503,-1.6955266,-2.6500573,-0.533468
6532943662295,-2.1313598,-2.6268835,0.09944987
6532948392086,-1.9002022,-3.2057447,1.5188723
6532953121878,-1.4060282,-3.9363437,2.947838
6532962581513,0.33921334,-5.496248,5.48348
6532962581513,0.33921334,-5.496248,5.48348
6532972041097,1.5368265,-6.408265,4.677389
6532972041097,1.5368265,-6.408265,4.677389
6532976770941,1.655372,-6.709344,3.4261467
6532981500732,1.5060148,-6.9099984,1.474107
6532986230524,1.2307135,-6.9036894,-0.94057465
6532995690159,0.40479138,-6.264345,-5.2430615
6532995690159,0.40479138,-6.264345,-5.2430615
6533000419951,0.14556159,-5.571058,-6.6330457
6533005149743,0.2190201,-4.7246246,-7.277337
6533009879534,0.14024931,-3.9593458,-7.323428
6533014609326,0.01206474,-3.3299303,-7.110037
6533019339170,-0.15237635,-2.8216476,-6.8944063
6533024068961,-0.36497983,-2.584714,-6.91893
6533028798753,-0.52345794,-2.726285,-6.7965198
6533033528597,-0.5450057,-3.2412329,-6.4910574
6533038258388,-0.23963855,-3.9261298,-6.147812
6533042988180,0.29817194,-4.637278,-6.19273
6533047717972,0.57003903,-5.1545258,-6.58371
6533052447816,0.33818427,-5.3751817,-6.7048597
6533057177607,-0.33639774,-5.297469,-6.0969176
6533061907399,-1.251519,-4.8147845,-4.978297
6533071367034,-2.8025863,-3.2940187,-2.8739355
6533071367034,-2.8025863,-3.2940187,-2.8739355
6533076096826,-3.1850758,-2.4654565,-1.9927973
6533080826618,-3.3267584,-1.6223731,-1.2006474
6533085556409,-3.1792383,-0.870204,-0.4672593
6533090286253,-2.621991,-0.19458675,0.01952529
6533095016045,-1.888001,0.42618084,0.26261938
6533104475680,-1.0042686,1.7025671,0.06984866
6533104475680,-1.0042686,1.7025671,0.06984866
6533109205472,-1.1290263,2.2059193,-0.28680134
6533113935263,-1.4297888,2.5984764,-0.63275594
6533118665107,-1.7183678,2.9093828,-0.91037333
